KOD;ROK;POHL;VEKKAT;KRAJ;HOSP
A101;2011;2;45-54;42;11
A101;2011;2;45-54;51;6
A101;2011;2;45-54;52;2
A101;2011;2;45-54;53;6
A101;2011;2;45-54;63;15
A101;2011;2;45-54;64;15
A101;2011;2;45-54;71;5
A101;2011;2;45-54;72;24
A101;2011;2;45-54;80;12
A101;2011;2;55-64;10;12
A101;2011;2;55-64;20;14
A101;2011;2;55-64;31;22
A101;2011;2;55-64;32;21
A101;2011;2;55-64;41;8
A101;2011;2;55-64;42;14
A101;2011;2;55-64;51;19
A101;2011;2;55-64;52;15
A101;2011;2;55-64;53;11
A101;2011;2;55-64;63;16
A101;2011;2;55-64;64;33
A101;2011;2;55-64;71;9
A101;2011;2;55-64;72;30
A101;2011;2;55-64;80;29
A101;2011;2;65-74;10;15
A101;2011;2;65-74;20;27
A101;2011;2;65-74;31;28
A101;2011;2;65-74;32;27
A101;2011;2;65-74;41;13
A101;2011;2;65-74;42;20
A101;2011;2;65-74;51;18
A101;2011;2;65-74;52;15
A101;2011;2;65-74;53;18
A101;2011;2;65-74;63;39
A101;2011;2;65-74;64;29
A101;2011;2;65-74;71;8
A101;2011;2;65-74;72;36
A101;2011;2;65-74;80;39
A101;2011;2;75+;10;38
A101;2011;2;75+;20;37
A101;2011;2;75+;31;46
A101;2011;2;75+;32;44
A101;2011;2;75+;41;21
A101;2011;2;75+;42;33
A101;2011;2;75+;51;34
A101;2011;2;75+;52;35
A101;2011;2;75+;53;60
A101;2011;2;75+;63;59
A101;2011;2;75+;64;101
A101;2011;2;75+;71;38
A101;2011;2;75+;72;52
A101;2011;2;75+;80;118
A102;2007;1;15-34;10;108
A102;2007;1;15-34;20;74
A102;2007;1;15-34;31;120
A102;2007;1;15-34;32;180
A102;2007;1;15-34;41;26
A102;2007;1;15-34;42;146
A102;2007;1;15-34;51;62
A102;2007;1;15-34;52;106
A102;2007;1;15-34;53;64
A102;2007;1;15-34;63;80
A102;2007;1;15-34;64;160
A102;2007;1;15-34;71;48
A102;2007;1;15-34;72;134
A102;2007;1;15-34;80;118
A102;2007;1;35-44;10;34
A102;2007;1;35-44;20;16
A102;2007;1;35-44;31;44
A102;2007;1;35-44;32;46
A102;2007;1;35-44;41;4
A102;2007;1;35-44;42;24
A102;2007;1;35-44;51;8
A102;2007;1;35-44;52;28
A102;2007;1;35-44;53;14
A102;2007;1;35-44;63;28
A102;2007;1;35-44;64;28
A102;2007;1;35-44;71;14
A102;2007;1;35-44;72;26
A102;2007;1;35-44;80;26
A102;2007;1;45-54;10;16
A102;2007;1;45-54;20;16
A102;2007;1;45-54;31;34
A102;2007;1;45-54;32;22
A102;2007;1;45-54;41;10
